"Date" "Location...Operator" "Aircraft.Type...Registration" "Fatalities" "year" "date" "casualties_onboard" "souls_onboard" "casualities_ground"
"105" "08 Oct 1926" "Bueren, GermanyDeutsche Lufthansa" "Fokker FG IIID-468" "4/4(0)" 1926 1926-10-08 4 4 0
"1110" "21 Oct 1926" "English ChannelImperial Airways" "Handley Page W-10G-EBMS" "0/12(0)" 1926 1926-10-21 0 12 0
"124" "11 Nov 1926" "Cape Bojador, MoroccoGrands Express Aeriens" "Breguet 14F-AFAX" "3/3(0)" 1926 1926-11-11 3 3 0
"133" "16 Dec 1926" "Medford, OregonPacific Air Transport" "Ryan M-12" "1/1(0)" 1926 1926-12-16 1 1 0
"120" "12 Jan 1927" "Estaires, FranceFokker" "Fokker F-VIIG-EBPL" "0/0(0)" 1927 1927-01-12 0 0 0
"216" "20 Mar 1927" "Rabat, MoroccoGrands Express Aeriens" "Breguet 14F-ALRA" "1/1(0)" 1927 1927-03-20 1 1 0
"316" "24 Mar 1927" "Tambo, Qld, AustraliaQantas" "de Havilland DH-9CG-AUED" "3/3(0)" 1927 1927-03-24 3 3 0
"416" "15 Apr 1927" "King Hill, IdahoVarney Air Lines" "Swallow
Swallow?" "1/1(0)" 1927 1927-04-15 1 1 0
"58" "22 Apr 1927" "Floh, GermanyDeutsche Lufthansa" "Fokker FG IIID-729" "2/2(0)" 1927 1927-04-22 2 2 0
"67" "22 Apr 1927" "Goshen, IndianaUS Aerial Mail Service" "Douglas M-4626" "1/1(0)" 1927 1927-04-22 1 1 0
"77" "02 May 1927" "Algiers, AlgeriaAir Union" "SPCA Meteore 63F-AIFN" "1/3(0)" 1927 1927-05-02 1 3 0
"86" "27 Jul 1927" "Amoneburg, GermanyDeutsche Lufthansa" "Junkers F-13D-206" "5/5(0)" 1927 1927-07-27 5 5 0
"96" "22 Aug 1927" "Sevenoaks, EnglandKLM Royal Dutch Airlines" "Fokker F-VIIIH-NADU
H-NADU" "1/11(0)" 1927 1927-08-22 1 11 0
"106" "03 Sep 1927" "Willington, ConnecticutColonial Air Transport" "Fokker UniversalNC52  	
NC52" "1/1(0)" 1927 1927-09-03 1 1 0
"1111" "17 Sep 1927" "Hadley, New JerseyReynolds Airways" "Fokker F-VIINC776" "7/12(0)" 1927 1927-09-17 7 12 0
"125" "17 Sep 1927" "Atlantic OceanPrivate" "Fokker F7NX703" "3/3(0)" 1927 1927-09-17 3 3 0
"134" "23 Sep 1927" "Schleiz, GermanyDeutsche Lufthansa" "Dornier MerkurD-585" "6/6(0)" 1927 1927-09-23 6 6 0
"141" "06 Oct 1927" "Thies, MauritaniaLignes Aeriennes Latecoere" "Breguet 14F-AGBN" "2/2(0)" 1927 1927-10-06 2 2 0
"151" "30 Oct 1927" "New Brunswick, New JerseyColonial Air Transport" "Fairchild FC-2?" "4/4(0)" 1927 1927-10-30 4 4 0
"161" "08 Nov 1927" "Strasburg, FranceCIDNA" "Farman F-121 JabiruF-AIBR" "1/1(0)" 1927 1927-11-08 1 1 0
"171" "16 Nov 1927" "Over the Gulf of FinlandAero O-Y" "Junkers F-13K-SALD" "6/6(0)" 1927 1927-11-16 6 6 0
"181" "29 Nov 1927" "Corunna, IndianaNational Air Transport" "Douglas M-4NC62  	
NC1062" "1/1(0)" 1927 1927-11-29 1 1 0
"191" "28 Dec 1927" "Almeria, SpainAeropostale" "Breguet 14F-AFGS" "1/1(0)" 1927 1927-12-28 1 1 0
"201" "31 Dec 1927" "Near Marseille,FranceLatecoere Airlines" "Latécoère 23 (flying boat)F-AIHP" "5/5(0)" 1927 1927-12-31 5 5 0
"126" "08 Jan 1928" "Near Canajoharie, New YorkColonial Western Airlines" "Fairchild FC-2NC3780" "3/3(0)" 1928 1928-01-08 3 3 0
"217" "16 Jan 1928" "Solis, UruguayAeropostale" "Latecoere 25F-AIKG" "2/2(0)" 1928 1928-01-16 2 2 0
"317" "22 Jan 1928" "L'Hospitalet, AriègeAeropostale" "Breguet 14
 F-AHEQ" "1/1(0)" 1928 1928-01-22 1 1 0
"417" "22 Jan 1928" "Tarragona, SpainAeropostale" "Breguet 14F-AHEQ" "2/2(0)" 1928 1928-01-22 2 2 0
"59" "27 Jan 1928" "Almeria, SpainAeropostale" "Breguet 14F-AFHN" "1/1(0)" 1928 1928-01-27 1 1 0
"68" "26 Feb 1928" "Marquette, NebraskaBoeing Air Transport" "Boeing 40NC280" "1/2(0)" 1928 1928-02-26 1 2 0
"78" "11 Mar 1928" "Off Cape Griz Nez, FranceAir Union" "Farman F-60 GoliathF-AEFC" "2/2(0)" 1928 1928-03-11 2 2 0
"87" "17 Apr 1928" "Federal, WyomingBoeing Air Transport" "Boeing 40NC282
NC282" "1/2(0)" 1928 1928-04-17 1 2 0
"97" "19 Apr 1928" "Minuesa, SpainIberia Airlines" "Rohrbach RolandM-CCCC" "9/9(0)" 1928 1928-04-19 9 9 0
"107" "07 May 1928" "Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, BrazilAeropostale" "Latecoere 26F-AIMQ" "1/5(0)" 1928 1928-05-07 1 5 0
"1112" "12 May 1928" "Dearborn, MinnesotaFord Air Freight Inc." "Ford 4NC1492" "2/2(0)" 1928 1928-05-12 2 2 0
"127" "26 May 1928" "Radevormwald, GermanyDeutsche Lufthansa" "Junkers F-13D-583" "3/5(0)" 1928 1928-05-26 3 5 0
"135" "14 Jun 1928" "Frankfurt, GermanyDeutsche Lufthansa" "AEGKD-74" "5/5(0)" 1928 1928-06-14 5 5 0
"142" "22 Jun 1928" "Lebo, KansasNational Air Transport" "Douglas M-4NC1059" "1/1(0)" 1928 1928-06-22 1 1 0
"152" "10 Jul 1928" "Over the Gulf of FinlandAero O-Y" "Junkers F-13K-SALB" "6/6(0)" 1928 1928-07-10 6 6 0
"162" "13 Jul 1928" "Purley, EnglandImperial Airways" "Vickers 74 VulcanG-EBLB" "4/6(0)" 1928 1928-07-13 4 6 0
"172" "24 Jul 1928" "Waalhaven, NetherlandsKLM Royal Dutch Airlines" "Fokker (KLM) F.IIIH-NABR" "1/6(0)" 1928 1928-07-24 1 6 0
"182" "25 Aug 1928" "Near Port Townsend, BC, CanadaBritish Columbia Airways" "Ford 4-AT-B Tri MotorG-CATX" "7/7(0)" 1928 1928-08-25 7 7 0
